,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,27,28,29,30,31,32,33,34,35,36,26
0,94.45278,93.03052,92.83914,92.71211,92.7003,92.08086,90.71327,90.712814,90.524345,90.71241,90.2118,89.47986,89.26479,89.16481,89.10939,89.116196,89.103,89.10171,89.1041,89.15716,89.15,89.1501,88.97467,89.06755,88.93087,88.92481,88.92347,88.923515,88.923195,88.92842,89.101685,89.1498,89.14978,88.92349,88.92345,88.910164
1800,94.6146,93.19233,93.00095,92.873924,92.86212,92.242676,90.875084,90.87463,90.68616,90.87422,90.37362,89.641685,89.426605,89.32662,89.2712,89.278015,89.26482,89.26352,89.26592,89.31897,89.31181,89.31192,89.13648,89.22936,89.09269,89.08664,89.08525,89.08533,89.084946,89.09024,89.263504,89.31162,89.31159,89.085236,89.08524,89.071976
3600,95.04448,93.622215,93.43419,93.30176,93.288895,92.65386,91.246895,91.246574,91.04992,91.24629,90.72048,89.92538,89.68811,89.57691,89.510735,89.52861,89.511604,89.511086,89.51442,89.57155,89.566536,89.56661,89.32733,89.45469,89.26619,89.26195,89.26097,89.261024,89.26076,89.264465,89.51109,89.56639,89.566376,89.26096,89.26096,89.233795
5400,95.2505,93.82824,93.64021,93.50778,93.49492,92.85988,91.45292,91.4526,91.25595,91.45231,90.926506,90.13139,89.894135,89.782936,89.71676,89.734634,89.71763,89.71711,89.72044,89.77757,89.77256,89.77262,89.533356,89.66071,89.47221,89.467964,89.466995,89.46705,89.46678,89.4705,89.71712,89.77242,89.7724,89.46699,89.46699,89.43982
7200,95.545685,94.12342,93.93646,93.80231,93.78909,93.14906,91.72946,91.72919,91.5299,91.728935,91.195,90.37929,90.13475,90.01982,89.95,89.972084,89.953865,89.953514,89.95718,90.0151,90.0107,90.01076,89.749664,89.88904,89.68245,89.67873,89.677864,89.67791,89.67767,89.68094,89.953545,90.010574,90.01055,89.67786,89.67786,89.64583
9000,95.76578,94.343506,94.156555,94.02239,94.009186,93.36915,91.949554,91.94927,91.74999,91.94902,91.41509,90.59937,90.35484,90.23991,90.17009,90.19217,90.17396,90.17361,90.17727,90.23519,90.23078,90.23085,89.96976,90.10912,89.90254,89.89881,89.89796,89.898,89.89776,89.901024,90.17363,90.23066,90.230644,89.89795,89.89795,89.86592
10800,95.98586,94.56359,94.37664,94.242485,94.22927,93.58924,92.16964,92.169365,91.97008,92.16911,91.63518,90.819466,90.57493,90.46,90.39017,90.41226,90.39404,90.39369,90.397354,90.45528,90.450874,90.450935,90.18984,90.329216,90.12263,90.118904,90.11804,90.11809,90.11785,90.12112,90.39372,90.45075,90.45073,90.118034,90.118034,90.086006
12600,96.205956,94.783676,94.59673,94.46257,94.44936,93.809326,92.38973,92.38945,92.19017,92.3892,91.85527,91.03955,90.79501,90.680084,90.61026,90.63235,90.614136,90.613785,90.61745,90.67537,90.67096,90.67103,90.409935,90.5493,90.34272,90.33898,90.338135,90.33818,90.33794,90.3412,90.61381,90.67084,90.67082,90.33813,90.33813,90.3061
14400,96.530464,95.108185,94.92247,94.78632,94.77273,94.12696,92.692856,92.69261,92.49032,92.6924,92.149124,91.30956,91.056595,90.937126,90.86291,90.89157,90.872116,90.871925,90.87596,90.93311,90.92935,90.92941,90.642395,90.7961,90.56792,90.564735,90.563995,90.56405,90.56384,90.56662,90.87197,90.92925,90.92923,90.563995,90.563995,90.526184
16200,96.766624,95.34436,95.15863,95.0225,95.00889,94.36313,92.929016,92.92877,92.72648,92.92856,92.385284,91.54572,91.292755,91.173294,91.099075,91.12773,91.108284,91.108086,91.11212,91.16927,91.16551,91.16557,90.878555,91.03226,90.80408,90.800896,90.80017,90.80021,90.8,90.80279,91.10814,91.16541,91.1654,90.80016,90.80016,90.76235
18000,96.62476,95.2025,95.012184,94.88344,94.8713,94.24691,92.86685,92.86645,92.675385,92.86608,92.357506,91.60573,91.383705,91.28004,91.221176,91.232925,91.21871,91.21769,91.22033,91.273155,91.266716,91.266815,91.07172,91.17502,91.02269,91.01724,91.016,91.01607,91.01572,91.020485,91.21769,91.26654,91.26652,91.01598,91.01599,90.99852
